file_name,relative_path,absolute_path,extension,file_role_guess,year_guess,period_guess,size_bytes,modified_time,sha256
2020__Q4__d9f12a8ea5__Q4-2020-.pdf,MoF_Web_Crawl\2020__Q4__d9f12a8ea5__Q4-2020-.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2020__Q4__d9f12a8ea5__Q4-2020-.pdf,.pdf,unknown,2020.0,,963645,2026-06-14T06:35:44,7982e9f13e420ac145e4cb07ad019f982a043ffdb424beadaa830b47e42df0c8
2021__060b46c7f0__Q1E20212904-1.pdf,MoF_Web_Crawl\2021__060b46c7f0__Q1E20212904-1.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__060b46c7f0__Q1E20212904-1.pdf,.pdf,unknown,2021.0,,3668666,2026-06-14T06:35:43,f6c31a81451dd7917c3cdba8ecc5f2c5798c459652673d7bf55d686859f87ca3
2021__1026e94192__Q2E2021-210802.pdf,MoF_Web_Crawl\2021__1026e94192__Q2E2021-210802.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__1026e94192__Q2E2021-210802.pdf,.pdf,unknown,2021.0,,3141078,2026-06-14T06:35:40,35110dd060bcafaed0b04acb4062351da37de66aabf27b6997e10232f73d32c6
2021__1e2c970b36__Q4E_2021.pdf,MoF_Web_Crawl\2021__1e2c970b36__Q4E_2021.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__1e2c970b36__Q4E_2021.pdf,.pdf,unknown,2021.0,,2509607,2026-06-14T06:35:34,063612f2013956ee2952b20bccadede2059f33fa33674444c51ed6fcfb1085d3
2021__2009784b62__infoE_Q3-2021.pdf,MoF_Web_Crawl\2021__2009784b62__infoE_Q3-2021.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__2009784b62__infoE_Q3-2021.pdf,.pdf,infographic_or_visual_summary,2021.0,,975119,2026-06-14T06:35:38,3ca901f95c49fe0b817bae9f512b96e55955db77ff7d5964d43dbc3cd653cc04
2021__30ca4da3e6__END_Bud-Eng_2021.pdf,MoF_Web_Crawl\2021__30ca4da3e6__END_Bud-Eng_2021.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__30ca4da3e6__END_Bud-Eng_2021.pdf,.pdf,unknown,2021.0,,1421024,2026-06-14T06:35:33,3ea0f7c386f7e99a01f662c8cfb36e827da0f6ac8b47ab8d41d8aeacc7eb96ee
2021__55091094cd__infoE_Q4-2021.pdf,MoF_Web_Crawl\2021__55091094cd__infoE_Q4-2021.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__55091094cd__infoE_Q4-2021.pdf,.pdf,infographic_or_visual_summary,2021.0,,590110,2026-06-14T06:35:35,a2057f27ba12fa7ca196529728d76f55e9337e479e9d31e8069ee4155c28e0d0
2021__83f8afd3b0__infoE_Q2_2021.pdf,MoF_Web_Crawl\2021__83f8afd3b0__infoE_Q2_2021.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__83f8afd3b0__infoE_Q2_2021.pdf,.pdf,infographic_or_visual_summary,2021.0,,814435,2026-06-14T06:35:41,500c38f1e89abd74dad7d5935115c015f15d23bf6aed659734afce151beedcd7
2021__e8acc5e046__Q3E_2021.pdf,MoF_Web_Crawl\2021__e8acc5e046__Q3E_2021.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__e8acc5e046__Q3E_2021.pdf,.pdf,unknown,2021.0,,3141591,2026-06-14T06:35:37,b42e2f65e7d15f66d94c7079a655b6e639b74e7df2276d71f001320e3bcfa367
2021__e91834667b__Mid-Bud-En_2021.pdf,MoF_Web_Crawl\2021__e91834667b__Mid-Bud-En_2021.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2021__e91834667b__Mid-Bud-En_2021.pdf,.pdf,unknown,2021.0,,1691004,2026-06-14T06:35:39,48ca5d2cf8e8655d7a37a9c8cfbe7b3c28105b93e01158903dde920589872b2f
2022__2b575b84a6__Q1E_2022-MOF.pdf,MoF_Web_Crawl\2022__2b575b84a6__Q1E_2022-MOF.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__2b575b84a6__Q1E_2022-MOF.pdf,.pdf,unknown,2022.0,,3339859,2026-06-14T06:35:31,0e8fbff762d329c05c1fc3fc9b90e0bd4dbf1f07324de47d60f307d76678075a
2022__6f3910b2d8__Q2E2022.pdf,MoF_Web_Crawl\2022__6f3910b2d8__Q2E2022.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__6f3910b2d8__Q2E2022.pdf,.pdf,unknown,2022.0,,3443091,2026-06-14T06:35:28,9396a2a37821b9804bfec62882ef78402f3cd65fdbcb73f67008cf552be1ecc3
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,.xlsx,budget_performance_report,2022.0,,248972,2026-06-14T06:35:32,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,.xlsx,budget_performance_report,2022.0,,187658,2026-06-14T06:35:26,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3
2022__d4ec4a3d9f__Mid-Bud_2022-En.pdf,MoF_Web_Crawl\2022__d4ec4a3d9f__Mid-Bud_2022-En.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__d4ec4a3d9f__Mid-Bud_2022-En.pdf,.pdf,unknown,2022.0,,1524662,2026-06-14T06:35:27,0edfde735e92a34b1b6380d7225ee39eb3d7eb3dabfe1eca428924078f615c02
2022__e03a55b441__END_Bud-E_2022.pdf,MoF_Web_Crawl\2022__e03a55b441__END_Bud-E_2022.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__e03a55b441__END_Bud-E_2022.pdf,.pdf,unknown,2022.0,,932714,2026-06-14T06:35:21,02f4aabff149a670549eb0f718de4b54ba4fb85d18836165b1985f764c255da2
2022__eefc25967d__Q3E2022.pdf,MoF_Web_Crawl\2022__eefc25967d__Q3E2022.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__eefc25967d__Q3E2022.pdf,.pdf,unknown,2022.0,,3455088,2026-06-14T06:35:25,e33570a9cd7a8a29077d18579cc8ee6b21665816a6b96e7f770c559d98135383
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,.xlsx,budget_performance_report,2022.0,End-Year/Annual,243434,2026-06-14T06:35:29,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,.xlsx,budget_performance_report,2022.0,,149651,2026-06-14T06:35:23,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68
2022__Q4__7c381308ab__Q4_E_2022.pdf,MoF_Web_Crawl\2022__Q4__7c381308ab__Q4_E_2022.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2022__Q4__7c381308ab__Q4_E_2022.pdf,.pdf,unknown,2022.0,,3273053,2026-06-14T06:35:22,f11d8e1edfadbec1ba522f76d4a048bf85b9edcbffaba7a4d3214bd0ed5bc0ac
2023__02e4cfad2a__Mid-Bud-E_2023_F.pdf,MoF_Web_Crawl\2023__02e4cfad2a__Mid-Bud-E_2023_F.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__02e4cfad2a__Mid-Bud-E_2023_F.pdf,.pdf,unknown,2023.0,,1575326,2026-06-14T06:35:11,71d9615d3867ebf0e13070c78f22395e050e5f5daea95b144f1fd288e1d5a862
2023__0586a660ef__Q1E_2023.pdf,MoF_Web_Crawl\2023__0586a660ef__Q1E_2023.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__0586a660ef__Q1E_2023.pdf,.pdf,unknown,2023.0,,1394967,2026-06-14T06:35:04,383e80b7492a77ffdd308a62b81590d54cb79e6af6fedf772b1ad06a3d742e81
2023__1d00335273__Q4E_2023-140224.pdf,MoF_Web_Crawl\2023__1d00335273__Q4E_2023-140224.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__1d00335273__Q4E_2023-140224.pdf,.pdf,unknown,2023.0,,1476199,2026-06-14T06:35:16,8fdbb4b9e29713dadfb0cb66de1c315a83772a0825635bad80d4ef71a7dcc820
2023__2205d9bc7b__infoE_Q4-2023_140224.pdf,MoF_Web_Crawl\2023__2205d9bc7b__infoE_Q4-2023_140224.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__2205d9bc7b__infoE_Q4-2023_140224.pdf,.pdf,infographic_or_visual_summary,2023.0,,570709,2026-06-14T06:35:18,d7558b8fb67622587d233af0269e89675aebf185f8a31f750534d8ef055c5495
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,MoF_Web_Crawl\2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,.xlsx,budget_performance_report,2023.0,,221859,2026-06-14T06:35:05,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b
2023__42c405f32a__infoE_Q2-2023F.pdf,MoF_Web_Crawl\2023__42c405f32a__infoE_Q2-2023F.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__42c405f32a__infoE_Q2-2023F.pdf,.pdf,infographic_or_visual_summary,2023.0,,1307865,2026-06-14T06:35:10,c0223334b038b6d4ac2269c3365da2fc53614b50f0e9c73081554047582b034f
2023__54c1082d9f__infoE_Q3-2023.pdf,MoF_Web_Crawl\2023__54c1082d9f__infoE_Q3-2023.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__54c1082d9f__infoE_Q3-2023.pdf,.pdf,infographic_or_visual_summary,2023.0,,868201,2026-06-14T06:35:15,93f735efd25cba72bbcc4430aa22c7dbf0872b907f9831dcd721175ca3dada68
2023__5c025d9a14__infoE_Until_Q4-2023_140224.pdf,MoF_Web_Crawl\2023__5c025d9a14__infoE_Until_Q4-2023_140224.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__5c025d9a14__infoE_Until_Q4-2023_140224.pdf,.pdf,infographic_or_visual_summary,2023.0,,569796,2026-06-14T06:35:19,5c93e9c6298d9aad9122fbea04697a959245441a48894ee864068431c2fec5ad
2023__7fe52a02ba__infoE_Q1-2023.pdf,MoF_Web_Crawl\2023__7fe52a02ba__infoE_Q1-2023.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__7fe52a02ba__infoE_Q1-2023.pdf,.pdf,infographic_or_visual_summary,2023.0,,505659,2026-06-14T06:35:06,2df3d8e3e3090d8b618c5f069174a536050f6841a7656621c302f312ec4cd4a0
2023__827615584c__END-Bud-E_2023_F2.pdf,MoF_Web_Crawl\2023__827615584c__END-Bud-E_2023_F2.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__827615584c__END-Bud-E_2023_F2.pdf,.pdf,unknown,2023.0,,2043729,2026-06-14T06:35:20,406cfa2ce312359012e58b340414c098e5643959720cd23053602919a7d74240
2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,.xlsx,budget_performance_report,2023.0,,532571,2026-06-14T06:35:09,7c7fabbf99f4c212109ac6f80e12080de330555adbd4c6797f26a9dccae16baa
2023__a32aa7192c__Q2E_2023_F.pdf,MoF_Web_Crawl\2023__a32aa7192c__Q2E_2023_F.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__a32aa7192c__Q2E_2023_F.pdf,.pdf,unknown,2023.0,,5796099,2026-06-14T06:35:08,b5a7b17b4d4b3086c419709f46c56aa74658f6c03e8bbb71759c3e24d30feeba
2023__e550336ebc__Q3E_2023.pdf,MoF_Web_Crawl\2023__e550336ebc__Q3E_2023.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__e550336ebc__Q3E_2023.pdf,.pdf,unknown,2023.0,,1997764,2026-06-14T06:35:13,055743e5e27b4af7532a7ebbc17fcd8775b05dc054a9670fd61cd64739145199
2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__Q3__de70d89bb6__Q3-2023_Quarterly_Budget_Performance_Tables.xlsx,.xlsx,budget_performance_report,2023.0,,282170,2026-06-14T06:35:14,76d13a98691001ee451c0d9a54ccff9619aa6a597f8abbf3bb6b3f5227db4009
2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,MoF_Web_Crawl\2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__Q4__05b025b90b__Q4-2023_Quarterly_Budget_Performance_Table_Final.xlsx,.xlsx,budget_performance_report,2023.0,,456470,2026-06-14T06:35:17,cfa3df04cd896903023a570caf6c6d002c17a43953c03feba743a5e16074d6db
2024__4689dc78ff__Q1E_2024-_F.pdf,MoF_Web_Crawl\2024__4689dc78ff__Q1E_2024-_F.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__4689dc78ff__Q1E_2024-_F.pdf,.pdf,unknown,2024.0,,1017689,2026-06-14T06:34:48,129d568f64c1d5ee6211898ec1b648d426659f4703a3499d5340a68fe9ef70fa
2024__4a7b99b36f__Copy_of_Quarterly_Budget_Performance_Report_Q1_2024-V12.xlsx,MoF_Web_Crawl\2024__4a7b99b36f__Copy_of_Quarterly_Budget_Performance_Report_Q1_2024-V12.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__4a7b99b36f__Copy_of_Quarterly_Budget_Performance_Report_Q1_2024-V12.xlsx,.xlsx,budget_performance_report,2024.0,,1129,2026-06-14T06:34:49,70000ae8165f290a8707e852ffc6bed533d9673c5cd232d2e377b450ad75adfd
2024__51b69074c0__infoE_Q1-2024_0505.pdf,MoF_Web_Crawl\2024__51b69074c0__infoE_Q1-2024_0505.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__51b69074c0__infoE_Q1-2024_0505.pdf,.pdf,infographic_or_visual_summary,2024.0,,816889,2026-06-14T06:34:50,6ae068bb992f1e6c30609196b3efef0a0977438abeb9e4cfc8ca27c3be2188b5
2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,MoF_Web_Crawl\2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__5b144da4bd__Quarterly_Budget_Performance_Report_Q3_2024.xlsx,.xlsx,budget_performance_report,2024.0,,323991,2026-06-14T06:34:57,c28c7fb0551fc3277a0378e331bb58eb3bf1cbcd978a966d1ba3cf4a12a931de
2024__942e3588c8__infoE_Q3-2024_F.pdf,MoF_Web_Crawl\2024__942e3588c8__infoE_Q3-2024_F.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__942e3588c8__infoE_Q3-2024_F.pdf,.pdf,infographic_or_visual_summary,2024.0,,814461,2026-06-14T06:34:58,1af1bd9e4347ac69bd50e96ff74e7f8720ee193eb812320f45c6fa847af5fb03
2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,MoF_Web_Crawl\2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,.xlsx,budget_performance_report,2024.0,,339903,2026-06-14T06:35:00,0015bfb0c89645cb1c7bf04b826ac1cefbfa36089d2f0b644c3c6cd19a4ff651
2024__e0efe85604__Mid-Bud-E_2024_F.pdf,MoF_Web_Crawl\2024__e0efe85604__Mid-Bud-E_2024_F.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__e0efe85604__Mid-Bud-E_2024_F.pdf,.pdf,unknown,2024.0,,2455727,2026-06-14T06:34:55,db3a7a362f5ddf54c91bb9f20800140d1692254258d323b15f17ab1210c07e9c
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,MoF_Web_Crawl\2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,.xlsx,budget_performance_report,2024.0,,168391,2026-06-14T06:34:53,51bf166f66cfe032a95b206393f6227e97d025c6f6233546ebac9287baa59b19
2024__e6d5a4f402__infoE_Q2-2024.pdf,MoF_Web_Crawl\2024__e6d5a4f402__infoE_Q2-2024.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__e6d5a4f402__infoE_Q2-2024.pdf,.pdf,infographic_or_visual_summary,2024.0,,807283,2026-06-14T06:34:54,f2dae5d3177111759b24ffb4af656832bd3e6eeb6973a0e771a11c4d5b5b2296
